Week,Day,Concept,Task,Level,Confidence,Completed,Instructions
2,2,HTML,Active learning: Inspecting a simple example,Beginner,8,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. http://127.0.0.1:5500/user/week02/exercises/day02/the_head_metadata_in_html/meta-example.html
2,2,HTML,Active learning: Experiment with character encoding,Beginner,8,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. https://www.google.com/search?q=MDN+Web+Docs&oq=MDN+Web+Docs&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABDIHCAIQABiABDIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIHCAYQABiABDIHCAcQABiABDIHCAgQABjvBTIHCAkQABjvBdIBCTI0NTlqMGoxNagCCLACAQ&sourceid=chrome&ie=UTF-8
2,2,HTML,Active learning: The description's use in search engines,Beginner,8,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. https://www.google.com/search?q=MDN+Web+Docs&oq=MDN+Web+Docs&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIHCAEQABiABDIHCAIQABiABDIHCAMQABiABDIHCAQQABiABDIHCAUQABiABDIHCAYQABiABDIHCAcQABiABDIHCAgQABjvBTIHCAkQABjvBdIBCTI0NTlqMGoxNagCCLACAQ&sourceid=chrome&ie=UTF-8
2,2,HTML,Active learning: applying CSS and JavaScript to a page,Beginner,8,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. http://127.0.0.1:5500/user/week02/exercises/day02/the_head_metadata_in_html/meta-example.html
2,2,HTML,Active learning: Giving our content structure,Beginner,8,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. http://127.0.0.1:5500/user/week02/exercises/day02/html_text_fundamentals/short-story.html
2,2,HTML,Active learning: Marking up an unordered list,Beginner,8,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. http://127.0.0.1:5500/user/week02/exercises/day02/html_text_fundamentals/shopping-list.html
2,2,HTML,Active learning: Marking up an ordered list,Beginner,8,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. http://127.0.0.1:5500/user/week02/exercises/day02/html_text_fundamentals/drections.html
2,2,HTML,Active learning: Marking up our recipe page,Beginner,8,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. http://127.0.0.1:5500/user/week02/exercises/day02/html_text_fundamentals/recipe-page.html
2,2,HTML,Test your skills: HTML text fundamentals (3x Tasks),Beginner,8,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. http://127.0.0.1:5500/user/week02/exercises/day02/html_text_fundamentals/basic-text1.html,http://127.0.0.1:5500/user/week02/exercises/day02/html_text_fundamentals/basic-text2.html,http://127.0.0.1:5500/user/week02/exercises/day02/html_text_fundamentals/basic-text3.html
2,2,HTML,Active learning: creating your own example link,Beginner,8,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. http://127.0.0.1:5500/user/week02/exercises/day02/Creating_hyperlinks/squirrels.html
2,2,HTML,Active learning: creating a navigation menu,Beginner,7,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. Replace this field with the exercise solution URL
2,2,HTML,Test your skills: Creating hyperlinks (3x Tasks),Beginner,7,TRUE,Submit your exercise in the appropriate folder. Stage - Commit - Push. Replace this field with the exercise solution URL
